<Logging continued from "data/ulx_logs/07-06-21.txt">
[00:14:02] Client "Starburst" connected.
[00:18:05] ExtraDipus<STEAM_0:0:164590602> spawned sent mediaplayer_tv
[00:24:19] Client "Starburst" spawned in server <STEAM_0:0:555922313> (took 617 seconds).
[00:26:25] Dropped "Starburst" from server<STEAM_0:0:555922313>
[00:26:36] ExtraDipus: 2
[00:28:32] Client "02" connected.
[00:37:53] ExtraDipus<STEAM_0:0:164590602> spawned sent mediaplayer_tv
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned vehicle models/nova/jeep_seat.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/hunter/plates/plate1x2.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/hunter/plates/plate2x2.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/hunter/plates/plate1x2.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/hunter/plates/plate1x2.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned vehicle models/nova/jeep_seat.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/props_phx/construct/metal_wire1x2b.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/hunter/blocks/cube2x2x1.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/hunter/plates/plate1x2.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/hunter/plates/plate1x2.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/hunter/plates/plate1x2.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/props_phx/trains/double_wheels.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/hunter/blocks/cube2x8x025.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/hunter/blocks/cube05x05x05.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/hunter/blocks/cube05x05x05.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/hunter/plates/plate2x2.mdl
[00:39:30] ExtraDipus<STEAM_0:0:164590602> spawned model models/hunter/blocks/cube05x05x025.mdl
[00:39:31] ExtraDipus<STEAM_0:0:164590602> spawned model models/props_phx/construct/metal_wire1x1.mdl
