1 | Titanovsky | STEAM_0:1:95303327 | 22025 BE | 75 LVL | Extra Dipus
2 | Life Hacer | STEAM_0:1:445528149 | 965044 BE | 54 LVL | Titanovsky
3 | Жужлицовый Жожда | STEAM_0:1:459363124 | 1010967 BE | 91 LVL | Titanovsky
4 | Imago | STEAM_0:1:511604395 | 400000 BE | 38 LVL | Titanovsky
5 | Толик Хрубачевский | STEAM_0:1:445577586 | 662040 BE | 104 LVL | Extra Dipus
6 | Gitirista | STEAM_0:0:503923263 | 1330985 BE | 82 LVL | Titanovsky
7 | Serdelka | STEAM_0:1:510505692 | 13 BE | 1 LVL | Extra Dipus
8 | Камень | STEAM_0:0:442381390 | 572960 BE | 46 LVL | Titanovsky
9 | ACLAPAC | STEAM_0:0:463056472 | 786608 BE | 43 LVL | Titanovsky
10 | Хлебушка | STEAM_0:0:461664741 | 400000 BE | 54 LVL | Titanovsky
11 | TAPOK7,62 | STEAM_0:1:124662869 | 82452 BE | 31 LVL | Titanovsky
12 | BananaTree | STEAM_0:1:544311206 | 400000 BE | 1 LVL | Titanovsky
13 | Спящий Зак | STEAM_0:1:483604613 | 415571 BE | 32 LVL | Titanovsky
14 | Void!Sans | STEAM_0:0:508457595 | 400272 BE | 34 LVL | Titanovsky
15 | Fumio | STEAM_0:0:121794568 | 399721 BE | 15 LVL | Titanovsky
16 | Nick | STEAM_0:1:443180723 | 400000 BE | 1 LVL | Titanovsky
17 | Gamer_X86 | STEAM_0:1:425625503 | 1091554 BE | 47 LVL | Titanovsky
18 | Я если что, Волк | STEAM_0:0:505893154 | 400000 BE | 26 LVL | Titanovsky
19 | Djostit | STEAM_0:1:107219182 | 400000 BE | 3 LVL | Titanovsky
20 | _Angry_Timur_ | STEAM_0:0:431600296 | 3016521 BE | 52 LVL | Titanovsky
21 | sss | STEAM_0:1:32206737 | 400000 BE | 5 LVL | Extra Dipus
22 | енен | STEAM_0:1:518304113 | 400000 BE | 1 LVL | Titanovsky
23 | Оксак | STEAM_0:0:426598565 | 606840 BE | 83 LVL | Titanovsky
24 | НЕНАДА УБИВАТЬ | STEAM_0:1:527756421 | 399133 BE | 3 LVL | Extra Dipus
25 | 123 | STEAM_0:0:449764451 | 400000 BE | 1 LVL | Extra Dipus
26 | денис | STEAM_0:1:556795605 | 400000 BE | 1 LVL | Titanovsky
27 | Deyvan | STEAM_0:1:173659438 | 400000 BE | 2 LVL | Titanovsky
28 | Mercury | STEAM_0:1:167507198 | 400000 BE | 1 LVL | Titanovsky
29 | Piska | STEAM_0:0:510155142 | 400000 BE | 1 LVL | Titanovsky
30 | Сергей | STEAM_0:1:428181030 | 400000 BE | 1 LVL | Titanovsky
